protein_1	A1URA3
protein_1192	B9JRA7
protein_1193	Q8EPP3
protein_1194	Q3JAI1
protein_1195	Q4L4Y2
protein_1196	Q5P4A1
protein_1197	Q68W27
protein_1198	Q6MRL9
protein_1199	P57886
protein_1200	Q04EZ7
protein_1201	Q0VNM7
protein_1202	Q1DFP6
protein_1203	Q8D318
protein_1204	B2T1B6
protein_1205	Q7V2X8
protein_1206	A2BNH4
protein_1207	P48817
protein_1208	P61529
protein_1209	Q03GC2
protein_1210	Q0AMX9
protein_1211	Q180F3
protein_1212	Q1QZP4
protein_1213	P71500
protein_1214	Q7UM96
protein_1215	Q253K1
protein_1216	B1AIT6
protein_1217	Q1LSP7
protein_1218	A0A840L853
protein_1219	A0A850SY80
protein_1220	P0AAM1
protein_1221	P09551
protein_1222	Q9KKZ4
protein_1223	A3N017
protein_1224	A0A089YFA6
protein_1225	P68066
protein_1226	B1J4D7
protein_1227	P0AFV8
protein_1228	Q0SNL5
protein_1229	A0L3K1
protein_1230	A0R883
protein_1231	A1TWJ3
protein_1232	A4FFJ9
protein_1233	A5CDU2
protein_1234	A5IFW8
protein_1235	P62920
protein_1236	O51216
protein_1237	A0A0B3BZ63
protein_1238	Q51559
protein_1239	E1V4H2
protein_1240	P33128
protein_1241	Q56237
protein_1242	A2RC73
protein_1243	A4VUD1
protein_1244	A5GIV0
protein_1245	A6LM87
protein_1246	A7HUZ7
protein_1247	A9B464
protein_1248	Q0STR3
protein_1249	Q1D5J6
protein_1250	Q2RJF1
protein_1251	Q313T1
protein_1252	A5GD74
protein_1253	A7HNS2
protein_1254	A9AZL0
protein_1255	B0B9Q4
protein_1256	P28842
protein_1257	P52939
protein_1258	Q47N25
protein_1259	A8FGT0
protein_1260	O34505
protein_1261	Q1H3B7
protein_1262	Q607A4
protein_1263	Q8GH80
protein_1264	A5FQU1
protein_1265	B8DQF5
protein_1266	B9DK59
protein_1267	Q1IPW7
protein_1268	Q7NG92
protein_1269	A5CS10
protein_1270	Q18KL6
protein_1271	Q1LQ33
protein_1272	Q1LH07
protein_1273	Q48JX9
protein_1274	P27296
protein_1275	P0AFH0
protein_1276	Q31I56
protein_1277	Q8A337
protein_1278	A1SNF6
protein_1279	A6VN09
protein_1280	B1HRH3
protein_1281	B3R0E8
protein_1282	Q03G75
protein_1283	Q2NAU5
protein_1284	Q7M800
protein_1285	A4XRN4
protein_1286	A0A3M4J170
protein_1287	Q3IKR2
protein_1288	Q73Q17
protein_1289	Q9RY24
protein_1290	B0T8A6
protein_1291	Q182Z4
protein_1292	P60936
protein_1293	Q3ACY1
protein_1294	P21863
protein_1295	B0K4N6
protein_1296	Q83GK3
protein_1297	A9F8L0
protein_1298	O67623
protein_1299	Q5YZX0
protein_1300	Q88VX7
protein_1301	Q9H078
protein_1302	Q0BPT7
protein_1303	Q6MEY2
protein_1304	B2S4Q0
protein_1305	Q1LPK6
protein_1306	Q2EES6
protein_1307	Q5WHG3
protein_1308	Q8DKU4
protein_1309	C1P605
protein_1310	Q9FDM1
protein_1311	A4SE82
protein_1312	A8M7W9
protein_1313	B2UPK2
protein_1314	B9KIU4
protein_1315	P04152
protein_1316	P9WNC1
protein_1317	P45157
protein_1318	Q7MPS3
protein_1319	A0LUK5
protein_1320	Q5WFY3
protein_1321	Q6AED5
protein_1322	Q73MF9
protein_1323	Q7VMC4
protein_1324	Q8A120
protein_1325	A9KSJ2
protein_1326	Q8KTR9
protein_1327	Q1LI60
protein_1328	Q1LI40
protein_1329	Q7WY66
protein_1330	P37968
protein_1331	P49574
protein_1332	A5CD86
protein_1333	P0CW06
protein_1334	A4IKW7
protein_1335	A5ERK2
protein_1336	A5UZS3
protein_1337	A6W1V6
protein_1338	A8IM99
protein_1339	O32506
protein_1340	P0A275
protein_1341	P73412
protein_1342	Q04449
protein_1343	A0A431KTI2
protein_1344	B1YLP7
protein_1345	Q2LRN9
protein_1346	B0B970
protein_1347	D1AXT4
protein_1348	Q3B6R3
protein_1349	B2I637
protein_1350	B3EI06
protein_1351	B5FBR6
protein_1352	B8FBT7
protein_1353	B9K4A6
protein_1354	Q8FM80
protein_1355	B7GTK2
protein_1356	A8FCG8
protein_1357	C4R1T9
protein_1358	Q0W8C9
protein_1359	Q6AF65
protein_1360	Q9PKE2
protein_1361	A4XPY6
protein_1362	A9A0U3
protein_1363	B3CNB0
protein_1364	Q9S470
protein_1365	A1KR91
protein_1366	C4K3I5
protein_1367	Q6AN63
protein_1368	B3WEQ7
protein_1369	Q04GN6
protein_1370	Q0VQU1
protein_1371	Q1H3I3
protein_1372	Q2S459
protein_1373	A0A178MQS3
protein_1374	A0A1I4N4E6
protein_1375	A0A1Y6BKZ9
protein_1376	C3PH91
protein_1377	O52236
protein_1378	P33596
protein_1379	P57445
protein_1380	Q01RU9
protein_1381	P57381
protein_1382	P9WIQ4
protein_1383	Q04W02
protein_1384	Q117D2
protein_1385	Q1LRP7
protein_1386	A5GBB7
protein_1387	A6SV55
protein_1388	A8EYF7
protein_1389	A9BJ15
protein_1390	B0K1A3
protein_1391	Q8EW52
protein_1392	P70998
protein_1393	P07621
protein_1394	P72479
protein_1395	A1BCU6
protein_1396	A5D2K2
protein_1397	A5IYT8
protein_1398	A6TVW5
protein_1399	A8G5G7
protein_1400	A9KEV0
protein_1401	Q93K97
protein_1402	A7NM80
protein_1403	B7GXS7
protein_1404	Q31FD3
protein_1405	Q7UM33
protein_1406	Q1D7T4
protein_1407	Q21SE9
protein_1408	Q2RJG2
protein_1409	Q315T1
protein_1410	Q3IDU0
protein_1411	P34716
protein_1412	Q022F6
protein_1413	Q0B0Z2
protein_1414	Q182C0
protein_1415	Q1QVM4
protein_1416	P13830
protein_1417	Q7UW59
protein_1418	A5WH04
protein_1419	Q0B075
protein_1420	Q6KI26
protein_1421	A9HAV7
protein_1422	B0TDI1
protein_1423	B1XL12
protein_1424	Q6L1R3
protein_1425	P05853
protein_1426	B0TCL9
protein_1427	Q5YTI1
protein_1428	Q49XM4
protein_1429	P33012
protein_1430	A5IYF2
protein_1431	P0A3Z5
protein_1432	P80869
protein_1433	Q9RXY7
protein_1434	Q1LJA2
protein_1435	Q1LIA5
protein_1436	Q1LPF3
protein_1437	Q1LNF5
protein_1438	C7RB40
protein_1439	Q6FA18
protein_1440	Q7NBC4
protein_1441	Q827B3
protein_1442	Q8ETG4
protein_1443	Q97I20
protein_1444	P9WHU5
protein_1445	Q2FWY7
protein_1446	A0R006
protein_1447	O53590
protein_1448	Q1IU64
protein_1449	Q2GID5
protein_1450	Q2SD47
protein_1451	Q3AKG6
protein_1452	Q4A7W5
protein_1453	Q6YR70
protein_1454	B1I5Z0
protein_1455	Q8FMF7
protein_1456	P0A4N9
protein_1457	Q2SCL1
protein_1458	Q4A6N6
protein_1459	Q5GS88
protein_1460	Q64X95
protein_1461	Q7VIU4
protein_1462	A0Q0M8
protein_1463	A5IAM8
protein_1464	B0JN42
protein_1465	B4SGR0
protein_1466	P11290
protein_1467	P0AC84
protein_1468	P27245
protein_1469	A9GBF1
protein_1470	O83110
protein_1471	Q1LJA4
protein_1472	P33987
protein_1473	O34748
protein_1474	P9WNB9
protein_1475	P37878
protein_1476	P39583
protein_1477	Q9RX92
protein_1478	A0A0F3KP67
protein_1479	A0A127K7P4
protein_1480	A2C5T5
protein_1481	A4SVW4
protein_1482	A5FQB7
protein_1483	A6L3K9
protein_1484	A7HMG4
protein_1485	A0A4R4K3K2
protein_1486	P37484
protein_1487	P26902
protein_1488	A0PZS6
protein_1489	P07999
protein_1490	P37558
protein_1491	Q5WIG0
protein_1492	O31686
protein_1493	Q9KBQ0
protein_1494	A0LJ41
protein_1495	C0ZB49
protein_1496	B6YRR9
protein_1497	B8I3I1
protein_1498	C1D4R5
protein_1499	O50581
protein_1500	P12768
protein_1501	Q2S413
protein_1502	B1AI94
protein_1503	D1BLD0
protein_1504	Q3JEE4
protein_1505	A5UY26
protein_1506	A9GHW2
protein_1507	C6C0P1
protein_1508	P27366
protein_1509	P81100
protein_1510	B1I162
protein_1511	B2GH80
protein_1512	B3EEJ7
protein_1513	B5EQL5
protein_1514	B8F744
protein_1515	O51395
protein_1516	P0A2V4
protein_1517	A1AXR3
protein_1518	A7NN19
protein_1519	O67030
protein_1520	Q45715
protein_1521	A6WCJ4
protein_1522	O31725
protein_1523	P27643
protein_1524	P70962
protein_1525	B8DJT6
protein_1526	B9KG17
protein_1527	C4XIJ9
protein_1528	O66880
protein_1529	P39788
protein_1530	A6UDC0
protein_1531	A8GP33
protein_1532	A9KFP2
protein_1533	B0SB31
protein_1534	B1IAG1
protein_1535	A0A843T4Y0
protein_1536	K6Z6P8
protein_1537	P30125
protein_1538	P9WG55
protein_1539	Q6AC77
protein_1540	Q8L2F3
protein_1541	A5IKR3
protein_1542	B9KH48
protein_1543	A0A1H2X745
protein_1544	A0A1W6LAC3
protein_1545	Q11QT3
protein_1546	Q3ARP2
protein_1547	Q7N1I3
protein_1548	Q9AP35
protein_1549	P94560
protein_1550	A0R3S7
protein_1551	P74290
protein_1552	Q97QQ0
protein_1553	A0Q6P7
protein_1554	A1VN98
protein_1555	Q8K9A9
protein_1556	Q98PR1
protein_1557	Q9X7N2
protein_1558	A0Q5Q7
protein_1559	A0A7Y5PFA3
protein_1560	B2UBL0
protein_1561	B9KDV7
protein_1562	Q1QAN0
protein_1563	Q5WFY6
protein_1564	A0AIZ4
protein_1565	A0A660R188
protein_1566	Q3AG56
protein_1567	A8GGZ0
protein_1568	A3PNJ7
protein_1569	A9HXK3
protein_1570	A6W1Q6
protein_1571	A8LLE2
protein_1572	A9KQC9
protein_1573	B1MYE4
protein_1574	P35489
protein_1575	B0RPQ9
protein_1576	P38947
protein_1577	P14738
protein_1578	A0A431TYP4
protein_1579	A0A4R6R6S7
protein_1580	A0A5C7QQM1
protein_1581	P57530
protein_1582	Q03D70
protein_1583	Q0A5Q3
protein_1584	Q14L37
protein_1585	Q1MRS8
protein_1586	P9WQ09
protein_1587	A0JUZ2
protein_1588	A1IQR7
protein_1589	A2BUV8
protein_1590	A4J5P4
protein_1591	O31427
protein_1592	A9NF97
protein_1593	Q1LSR7
protein_1594	Q83N13
protein_1595	P60593
protein_1596	A0JXB2
protein_1597	A1JIJ2
protein_1598	A2C0H4
protein_1599	A4QEN4
protein_1600	A5FRL4
protein_1601	A8FFD4
protein_1602	B2V6B0
protein_1603	C3PMP2
protein_1604	P0A106
protein_1605	P80871
protein_1606	Q2GEF1
protein_1607	P25553
protein_1608	P9WNZ1
protein_1609	Q8YG65
protein_1610	Q9KVL2
protein_1611	P94695
protein_1612	A9NGL1
protein_1613	Q169H6
protein_1614	A5W382
protein_1615	C7N1I1
protein_1616	B9DPC0
protein_1617	C1B7T0
protein_1618	C6E4L2
protein_1619	Q03SK6
protein_1620	H8F3R6
protein_1621	P0AA73
protein_1622	Q8A2F6
protein_1623	Q31F93
protein_1624	Q8R6A3
protein_1625	A2RIU4
protein_1626	A7IFW1
protein_1627	B2A3X9
protein_1628	B8FWE4
protein_1629	Q67J34
protein_1630	A3M8W8
protein_1631	Q2NE66
protein_1632	P40170
protein_1633	Q6KI22
protein_1634	Q8RHQ8
protein_1635	P86210
protein_1636	A9FCY5
protein_1637	B1ZGG9
protein_1638	Q6APY7
protein_1639	A9MCZ2
protein_1640	A0LG71
protein_1641	Q9WYA3
protein_1642	A0LZH8
protein_1643	A1QZY4
protein_1644	A2RP08
protein_1645	A4W502
protein_1646	Q9AP33
protein_1647	P80241
protein_1648	P9WMK1
protein_1649	P9WMA9
protein_1650	P9WM80
protein_1651	A9KQ46
protein_1652	C7Z9X4
protein_1653	Q2SKZ0
protein_1654	Q7VQH3
protein_1655	P42386
protein_1656	A0A0Q5FMG7
protein_1657	A0A1G2YYQ5
protein_1658	Q7MVE7
protein_1659	Q44264
protein_1660	A5DIR2
protein_1661	B2V7G7
protein_1662	P29201
protein_1663	Q55900
protein_1664	B5FAW8
protein_1665	Q8RBR5
protein_1666	P35160
protein_1667	Q88YM8
protein_1668	Q6FYB8
protein_1669	B0T7D0
protein_1670	A0LSX9
protein_1671	A6LJI3
protein_1672	B3E171
protein_1673	Q8FRX6
protein_1674	Q983L2
protein_1675	P0DUE4
protein_1676	P0AFF6
protein_1677	Q72EF4
protein_1678	A0Q0N2
protein_1679	A1VKP2
protein_1680	A3N5K5
protein_1681	A5CS07
protein_1682	A5IY12
protein_1683	P0AGK8
protein_1684	A0A0H2ZJC1
protein_1685	P75685
protein_1686	Q8ZRF7
protein_1687	O31655
protein_1688	P77379
protein_1689	B8GWS7
protein_1690	P18584
protein_1691	Q3ASH7
protein_1692	A0A8H2JKP2
protein_1693	P13036
protein_1694	Q5SKC5
protein_1695	P55825
protein_1696	Q8E8D9
protein_1697	A0LXR1
protein_1698	A1UR85
protein_1699	C0H3P8
protein_1700	P09662
protein_1701	P37559
protein_1702	P71073
protein_1703	Q99031
protein_1704	P0ADP0
protein_1705	P9WH77
protein_1706	P9WK89
protein_1707	P07860
protein_1708	Q0SRD5
protein_1709	Q2IIK1
protein_1710	Q74FF1
protein_1711	P76214
protein_1712	A4FFQ6
protein_1713	B2KBA5
protein_1714	A0Q210
protein_1715	A6UWS5
protein_1716	B3EEG6
protein_1717	P62467
protein_1718	Q3J7B5
protein_1719	C1P603
protein_1720	O65979
protein_1721	P73098
protein_1722	Q1IGK2
protein_1723	Q4UJB0
protein_1724	Q6MBT2
protein_1725	A1U342
protein_1726	C5CHD1
protein_1727	Q98JG8
protein_1728	A0A7T4R1H5
protein_1729	Q0AB61
protein_1730	Q31GP3
protein_1731	Q820U0
protein_1732	B0K431
protein_1733	A0A2G6CPL9
protein_1734	A0A2W5DXG1
protein_1735	Q8R8M9
protein_1736	Q9JWD6
protein_1737	Q2K4W8
protein_1738	P30847
protein_1739	G3XCN6
protein_1740	O67655
protein_1741	Q7VFV4
protein_1742	Q1XDM0
protein_1743	P31039
protein_1744	A1AVI3
protein_1745	A0A4Z0QED2
protein_1746	A0A5P9NKS4
protein_1747	Q2YB94
protein_1748	Q4A177
protein_1749	Q5LVN0
protein_1750	Q3JBB6
protein_1751	Q7VYV6
protein_1752	P32626
protein_1753	A5WG13
protein_1754	B4JSP3
protein_1755	Q02A42
protein_1756	Q30YQ7
protein_1757	A1JKU0
protein_1758	A2RNZ5
protein_1759	Q8UBM0
protein_1760	A6Q422
protein_1761	Q05562
protein_1762	Q47XI4
protein_1763	Q1LRA1
protein_1764	Q1LQ00
protein_1765	Q1LIM8
protein_1766	Q1LQF6
protein_1767	Q1QXW0
protein_1768	Q72K85
protein_1769	Q3A209
protein_1770	A0RQA9
protein_1771	A6W915
protein_1772	P67710
protein_1773	C1A1M0
protein_1774	O34600
protein_1775	A2RLC3
protein_1776	P0AAT6
protein_1777	Q6ARV6
protein_1778	A2RGR2
protein_1779	Q7VJY3
protein_1780	Q1LPS6
protein_1781	Q1LLW8
protein_1782	B8DUF9
protein_1783	Q11WJ0
protein_1784	Q5YVL4
protein_1785	A3MSM9
protein_1786	C3MQK7
protein_1787	B1YKA0
protein_1788	B2STK3
protein_1789	B4S5F6
protein_1790	B8CXG4
protein_1791	B9E0C6
protein_1792	Q73GH3
protein_1793	Q491V7
protein_1794	A1AV04
protein_1795	A7H0X7
protein_1796	B4RCI1
protein_1797	P9WKB1
protein_1798	P9WLS3
protein_1799	Q9ZNX9
protein_1800	O31810
protein_1801	P00782
protein_1802	O32720
protein_1803	P37470
protein_1804	P96619
protein_1805	Q9KAK0
protein_1806	Q08313
protein_1807	A5FRB5
protein_1808	A9KE31
protein_1809	B3QUD7
protein_1810	Q029I5
protein_1811	Q2JK09
protein_1812	A0A4R7X116
protein_1813	Q4ZLZ9
protein_1814	Q5WHD7
protein_1815	Q6AKB8
protein_1816	Q74BP0
protein_1817	Q7VRQ7
protein_1818	O67480
protein_1819	Q7NHJ3
protein_1820	Q1RJX4
protein_1821	P08065
protein_1822	P56957
protein_1823	Q8CUT7
protein_1824	P94496
protein_1825	Q9PKA8
protein_1826	A5UYW4
protein_1827	Q3A8N7
protein_1828	Q47158
protein_1829	Q5GSP0
protein_1830	Q607S4
protein_1831	Q6HN08
protein_1832	Q30Q11
protein_1833	Q6MGQ3
protein_1834	A8EUA0
protein_1835	P60967
protein_1836	A0LG76
protein_1837	A1KUP6
protein_1838	A2C5A9
protein_1839	A4SR27
protein_1840	A5FNH2
protein_1841	P9WLP1
protein_1842	P9WLS6
protein_1843	Q7VLK1
protein_1844	P62186
protein_1845	P37873
protein_1846	A0A147H753
protein_1847	A0A1H7S004
protein_1848	A0A7W2TUJ9
protein_1849	B8ZUI1
protein_1850	C1F130
protein_1851	O51528
protein_1852	P28719
protein_1853	P56148
protein_1854	P52688
protein_1855	B9KZS7
protein_1856	Q67LB8
protein_1857	P21881
protein_1858	P26497
protein_1859	P45856
protein_1860	A7GNL0
protein_1861	O32131
protein_1862	Q16DL0
protein_1863	Q1QWG0
protein_1864	Q30ZK3
protein_1865	Q3JES4
protein_1866	Q2P334
protein_1867	Q31RL0
protein_1868	Q45978
protein_1869	Q55506
protein_1870	Q5WGB6
protein_1871	P9WI39
protein_1872	O31611
protein_1873	Q83FB6
protein_1874	A0A0C2S7H5
protein_1875	Q03YJ6
protein_1876	Q0BV35
protein_1877	Q1AWE1
protein_1878	Q21HN5
protein_1879	Q2RHT5
protein_1880	B2GBQ6
protein_1881	Q3AF07
protein_1882	Q9KJT8
protein_1883	A2BZC9
protein_1884	B5Y8M4
protein_1885	Q30QV9
protein_1886	Q3J7U5
protein_1887	Q4JVD8
protein_1888	Q5P3C5
protein_1889	Q67QM6
protein_1890	P59947
protein_1891	A8EUC7
protein_1892	Q05646
protein_1893	Q835R5
protein_1894	Q7UM31
protein_1895	P44932
protein_1896	P61537
protein_1897	Q03IZ8
protein_1898	Q0AX14
protein_1899	Q187P1
protein_1900	A0A1E4K3N4
protein_1901	A0A1L9AWD0
protein_1902	B0C0B6
protein_1903	B1GZS8
protein_1904	B3CM56
protein_1905	B4U113
protein_1906	B0S1C3
protein_1907	Q056X7
protein_1908	Q2YCX0
protein_1909	Q7U323
protein_1910	B0S1F7
protein_1911	Q2GLU9
protein_1912	Q8KRC9
protein_1913	A0RQC0
protein_1914	B3ES99
protein_1915	A0A2S9X7W8
protein_1916	A0A3L7E0P8
protein_1917	Q88U41
protein_1918	Q97GV3
protein_1919	Q9RX75
protein_1920	P21320
protein_1921	P0AFZ3
protein_1922	Q79FW5
protein_1923	P0DUT9
protein_1924	A0A0H3CC47
protein_1925	P45161
protein_1926	B0RVU1
protein_1927	Q1QET5
protein_1928	Q8KCD8
protein_1929	B1J2Z7
protein_1930	B2J434
protein_1931	B3PL65
protein_1932	B5YJY3
protein_1933	B8FRH5
protein_1934	Q1LJ92
protein_1935	P17160
protein_1936	A5IQA5
protein_1937	P50465
protein_1938	P19220
protein_1939	P39920
protein_1940	A1WWE4
protein_1941	A9BHZ7
protein_1942	Q058F5
protein_1943	Q39PQ9
protein_1944	A0A2D7WJW9
protein_1945	Q4FUU7
protein_1946	Q5NGY3
protein_1947	Q6MFA6
protein_1948	Q7US71
protein_1949	C0QX60
protein_1950	Q6A661
protein_1951	Q8KML7
protein_1952	A5II42
protein_1953	Q1IQH8
protein_1954	A4W960
protein_1955	A1SRP8
protein_1956	Q2GK85
protein_1957	P20707
protein_1958	A5I9G0
protein_1959	B1YKS7
protein_1960	B9L0E5
protein_1961	O32268
protein_1962	P61187
protein_1963	Q5L5E3
protein_1964	P52993
protein_1965	Q49110
protein_1966	P72109
protein_1967	B5EMG2
protein_1968	A8FBL1
protein_1969	O34412
protein_1970	P37549
protein_1971	Q00758
protein_1972	Q9KCF1
protein_1973	A6QBP7
protein_1974	Q8DTC7
protein_1975	Q1LKJ4
protein_1976	Q1LI17
protein_1977	Q1LIN3
protein_1978	B1ZSD3
protein_1979	B2ULE2
protein_1980	B4S4K5
protein_1981	B8CX98
protein_1982	A0A1Y0FZP3
protein_1983	B9KHQ5
protein_1984	C4XIK0
protein_1985	O66911
protein_1986	P57617
protein_1987	Q7NJ40
protein_1988	A1B2U9
protein_1989	O51419
protein_1990	Q8DTN6
protein_1991	A9BF21
protein_1992	A0A7I8E5F4
protein_1993	O67779
protein_1994	P61672
protein_1995	Q04WF5
protein_1996	Q1ILN0
protein_1997	A5ISZ7
protein_1998	Q1IJS7
protein_1999	P19824
protein_2000	B7IDQ7
protein_2001	A0PYP8
protein_2002	O69460
protein_2003	P45158
protein_2004	P61611
protein_2005	Q03NA7
protein_2006	P0DB14
protein_2007	P49850
protein_2008	Q04AN8
protein_2009	Q0SSQ2
protein_2010	Q1LKN1
protein_2011	Q1LAT0
protein_2012	P73658
protein_2013	P05824
protein_2014	Q9WY43
protein_2015	B8IHL2
protein_2016	Q5QXL2
protein_2017	A8EWT6
protein_2018	A5CDP1
protein_2019	B8FLV5
protein_2020	A8EZ47
protein_2021	A9F881
protein_2022	B0SUN7
protein_2023	B1W3G2
protein_2024	B2J4H5
protein_2025	A5FXT9
protein_2026	A6LPI2
protein_2027	A7NPT5
protein_2028	B0B8E9
protein_2029	Q04QS3
protein_2030	Q24814
protein_2031	P9WHU1
protein_2032	Q1MIB2
protein_2033	Q8FEY5
protein_2034	A0LDB8
protein_2035	B1AI43
protein_2036	Q2GIG5
protein_2037	Q8K9R5
protein_2038	P9WGE4
protein_2039	A0A7Y8CL40
protein_2040	Q2G3F4
protein_2041	Q7VCK5
protein_2042	A5IQ73
protein_2043	Q1IZC9
protein_2044	O31775
protein_2045	A8YTF7
protein_2046	A9MKM6
protein_2047	B0TD39
protein_2048	B1VY58
protein_2049	B2RL41
protein_2050	A5CFM7
protein_2051	B0S3V2
protein_2052	Q11TG8
protein_2053	Q4A647
protein_2054	Q9RVL1
protein_2055	A9NE68
protein_2056	B0TU66
protein_2057	B1X109
protein_2058	B2S2S5
protein_2059	Q6KH93
protein_2060	B4U7U4
protein_2061	P46469
protein_2062	Q6MDI5
protein_2063	B1I6S1
protein_2064	Q7DF80
protein_2065	G8QM60
protein_2066	P42251
protein_2067	Q728G0
protein_2068	A4J5Z5
protein_2069	A9WFA4
protein_2070	Q1AW08
protein_2071	A6LD25
protein_2072	C7N914
protein_2073	Q2LUQ1
protein_2074	P77527
protein_2075	Q1Q978
protein_2076	Q4UKL3
protein_2077	Q87J97
protein_2078	A9KG24
protein_2079	B0SB85
protein_2080	B1IT36
protein_2081	B2IYW1
protein_2082	B3PEM4
protein_2083	Q7VK73
protein_2084	Q8XIP3
protein_2085	Q9RUN0
protein_2086	O31602
protein_2087	Q8R5X5
protein_2088	B8I4B9
protein_2089	Q03Z46
protein_2090	P0A9B6
protein_2091	B3CLI3
protein_2092	B1MZG7
protein_2093	P0CW10
protein_2094	Q2VYM5
protein_2095	Q6MB27
protein_2096	Q9KD73
protein_2097	Q72Q67
protein_2098	Q8YS92
protein_2099	P68575
protein_2100	P9WKC9
protein_2101	P9WKC1
protein_2102	A0A2V7JZT9
protein_2103	Q9KAJ2
protein_2104	Q08310
protein_2105	A0R596
protein_2106	A9KKT9
protein_2107	Q0AKB3
protein_2108	Q2LTN8
protein_2109	Q314F2
protein_2110	Q3JES5
protein_2111	Q4L6Y6
protein_2112	Q5QYU4
protein_2113	Q1LNF6
protein_2114	Q1LQ38
protein_2115	Q1LP48
protein_2116	Q1LQG9
protein_2117	Q1LLG9
protein_2118	A8ZNZ4
protein_2119	C8WEG0
protein_2120	Q2SF13
protein_2121	A1VD34
protein_2122	Q05FY8
protein_2123	Q98MD2
protein_2124	Q9WYY1
protein_2125	A0Q0M7
protein_2126	A1SNW4
protein_2127	A3DJ07
protein_2128	P9WLL7
protein_2129	Q47157
protein_2130	Q8YDL6
protein_2131	Q9KNM2
protein_2132	A0A085VAN9
protein_2133	P70918
protein_2134	P9WMF9
protein_2135	P9WLN1
protein_2136	P9WLS0
protein_2137	P45680
protein_2138	B1ZP17
protein_2139	P66866
protein_2140	P23873
protein_2141	P9WMJ3
protein_2142	Q2FYU7
protein_2143	Q1LI29
protein_2144	Q1LIT8
protein_2145	Q1LS40
protein_2146	P04995
protein_2147	A0A0U5IHF7
protein_2148	A0A1H4APC4
protein_2149	A0A1I7GAE8
protein_2150	Q1MRQ2
protein_2151	Q2JN87
protein_2152	Q2YBI1
protein_2153	Q3II35
protein_2154	Q4JUY8
protein_2155	Q1LSB6
protein_2156	Q1LI54
protein_2157	Q1LL91
protein_2158	Q1LNE1
protein_2159	A4N8V8
protein_2160	A3DM32
protein_2161	C0ZH53
protein_2162	Q7BVT7
protein_2163	Q1RJU4
protein_2164	P46487
protein_2165	O67786
protein_2166	Q4ZWE0
protein_2167	Q8R5X6
protein_2168	Q045Q9
protein_2169	Q1LLX1
protein_2170	A3DHZ7
protein_2171	A4XIQ3
protein_2172	A5G742
protein_2173	A6QCI0
protein_2174	A8ESX8
protein_2175	B2UU73
protein_2176	B8CZN7
protein_2177	B8ZTP0
protein_2178	C1A8L2
protein_2179	P02958
protein_2180	P40868
protein_2181	C0H3X8
protein_2182	P16450
protein_2183	Q8EPH6
protein_2184	Q97EY6
protein_2185	Q9ZJY2
protein_2186	P0ADY1
protein_2187	P9WI77
protein_2188	B8FBE8
protein_2189	B9KZ87
protein_2190	C5BW79
protein_2191	O67551
protein_2192	P44320
protein_2193	Q2WBH0
protein_2194	Q7V491
protein_2195	Q9JPD1
protein_2196	A2BQX7
protein_2197	A8LQR9
protein_2198	P76216
protein_2199	P0A1R0
protein_2200	Q7AP87
protein_2201	G2JZ44
protein_2202	P39666
protein_2203	B0TAD4
protein_2204	B8G4T8
protein_2205	I6X4W0
protein_2206	P48859
protein_2207	Q0A738
protein_2208	A4SZR9
protein_2209	B2GBQ4
protein_2210	P38523
protein_2211	Q31HA8
protein_2212	Q6NEZ0
protein_2213	A5IXJ1
protein_2214	Q1GP64
protein_2215	Q5NKZ8
protein_2216	A8EZP4
protein_2217	A1KUQ3
protein_2218	A2C5S6
protein_2219	A4QH66
protein_2220	A5G2L3
protein_2221	A1WYP1
protein_2222	B6ITJ7
protein_2223	Q4FQ51
protein_2224	Q8FP03
protein_2225	Q57663
protein_2226	O25080
protein_2227	H8F0D6
protein_2228	P0A1D7
protein_2229	Q89YS5
protein_2230	B1ZT51
protein_2231	B8FNN5
protein_2232	Q1AW38
protein_2233	Q4L610
protein_2234	Q98KJ4
protein_2235	Q0APB3
protein_2236	Q6F1Q6
protein_2237	A6TRI3
protein_2238	Q82XD4
protein_2239	Q02VA9
protein_2240	B2A337
protein_2241	C1D6U0
protein_2242	O32272
protein_2243	P64567
protein_2244	Q187T2
protein_2245	B5FBL7
protein_2246	P0DO98
protein_2247	Q2G0P8
protein_2248	A0L8B0
protein_2249	A8GG82
protein_2250	A0RTP4
protein_2251	B6YVQ8
protein_2252	P68646
protein_2253	P33197
protein_2254	O88989
protein_2255	B8I307
protein_2256	O07552
protein_2257	P54617
protein_2258	Q0IAP2
protein_2259	Q31GP2
protein_2260	C1CVN6
protein_2261	Q2NIA2
protein_2262	A6M3G5
protein_2263	Q1WRR9
protein_2264	Q2N7Y8
protein_2265	Q31G89
protein_2266	Q3SLR9
protein_2267	Q4UK93
protein_2268	Q06277
protein_2269	A6SRT0
protein_2270	B4U605
protein_2271	P94820
protein_2272	Q6CM87
protein_2273	B2TCB2
protein_2274	B4F203
protein_2275	B7J0W2
protein_2276	B8I3R5
protein_2277	C0R515
protein_2278	Q74BP1
protein_2279	A4WBG0
protein_2280	P59503
protein_2281	O25098
protein_2282	B2S4P7
protein_2283	P0C2M5
protein_2284	P80878
protein_2285	Q24VT7
protein_2286	Q5HR69
protein_2287	P39221
protein_2288	P80046
protein_2289	P31005
protein_2290	Q8CQ25
protein_2291	Q9R9N5
protein_2292	Q98E34
